名称,主たる事業,区分,設備おむつ交換,設備授乳,設備その他,設備内容,箇所数,設置場所,特徴,郵便番号,市区町村,住所,電話番号,FAX,メール,営業時間,定休日,URL,PR（赤ちゃんの駅）
(株)高砂建設　浦和モデルハウス ,建設業,その他,○,○,×,,1,【おむつ交換＋授乳】モデルハウス内の部屋をご利用いただけます,モデルハウス（宿泊体感型）,330-0071,さいたま市浦和区,さいたま市浦和区上木崎6-37-17,048-834-6531,048-834-6533,urawa@takasagokensetu.co.jp,9:00～17:00,(予約制モデル)/常時OPEN→土・日,http://www.takasagokensetu.co.jp,宿泊体験のできるモデルハウスのため、住宅設備はすべて整っており、使用が可能です。（キッチン、風呂、トイレ、寝室…etc）
武蔵野銀行　県庁前支店,銀行業,金融,○,○,×,,1,【おむつ交換+授乳】店舗ロビー　簡易応接コーナー内,ご来店時のお待ちの間にご利用いただけます。,330-0063,さいたま市浦和区,さいたま市浦和区高砂4-3-15,048-864-7111,048-863-1752,eiki-kikaku@musashinobank.co.jp,9:00～15:00,土・日・祝日,http://www.musashinobank.co.jp/,当行では、地域に根ざす企業市民として、「パパ・ママ応援ショップ」や「彩の国福祉宣言の店」への協賛、「認知症サポーター」の全店配置など地域社会との関係を重視した取組を積極的に行っております。
伊勢丹　浦和店,百貨店,買物,○,○,×,,1,【おむつ交換+授乳】6階ベビー休憩所,,330-0063,さいたま市浦和区,さいたま市浦和区高砂1-15-1,048-834-1111,048-825-8784,,10:00～20:00,1月1日のみ,,
イトーヨーカドー　浦和店,小売業,買物,○,○,×,,1,【おむつ交換+授乳】3階赤ちゃん休憩室,,330-0062,さいたま市浦和区,さいたま市浦和区仲町1-7-1,048-829-2261,,,10:00～21:00,無,https://stores.itoyokado.co.jp/030,厚生労働省のガイドラインに準拠した70度の調乳設備。乳幼児用身長計・体重計があります。
ヤオコー浦和上木崎店,食品スーパー,買物,○,×,×,,1,【おむつ交換】多目的トイレ,,330-0071,さいたま市浦和区,さいたま市浦和区上木崎4-9-15,048-814-3111,048-834-7211,,10:00～21:45,無,,
浦和パルコ,小売業,買物,○,○,×,,14,"【おむつ交換】
・Ｂ１、２Ｆ～６Ｆ　各男女トイレ
【おむつ交換＋授乳設備】
・３Ｆ、５Ｆ　ベビー休憩室",授乳室には調乳用温水器が設置してあります（７０℃対応）,330-0055,さいたま市浦和区,さいたま市浦和区東高砂町11-1,048-611-8000(代表電話）,,,10:00～21:00（５階飲食店のみ11:00～23:00）　※営業時間は店によって異なる場合があります。,無し,http://www.parco-urawa.com/,ファッションを始め食品や生活雑貨などの様々なアイテムがあり、ご家族連れで楽しめる施設です。ベビーカーの貸出（無料）やキッズスペースの設置もございます。皆様のご来店をお待ちしております。
浦和合同庁舎(さいたま県税事務所),官公庁(埼玉県),公共施設,○,○,×,,22,"【授乳】1階あかちゃんの駅コーナー
【おむつ替え】各階男女トイレ、各階多目的トイレ",1階あかちゃんの駅コーナーでは、授乳、おむつ交換、休憩が出来ます。,330-0074,さいたま市浦和区,さいたま市浦和区北浦和5-6-5,さいたま税事務所048-822-5131,048-822-4381,p225131@pref.saitama.lg.jp,8:30～17:15,土日祝日,,ゴミはお持ち帰り願います。
埼玉会館,官公庁(埼玉県),公共施設,○,○,×,,3,"【おむつ交換】1階バリアフリートイレ(レストラン横)、地下1階バリアフリートイレ
【授乳】地下１階授乳室",授乳室を利用する場合は受付にお申し出ください。,330-8518,さいたま市浦和区,さいたま市浦和区高砂3-1-4,048-829-2471,048-829-2477,,9:00～21:30(電話によるお問い合わせは9:00～17:00),年末年始及び臨時休館日(詳しくはお問い合わせください),https://www.saf.or.jp/saitama/,埼玉県庁とJR浦和駅とをつなぐ県庁通り沿いの好立地にある施設です。
彩の国すこやかプラザ,官公庁(埼玉県),公共施設,○,○,×,,2,"2Fチャイルドルーム
3F男女多目的トイレ",,330-8529,さいたま市浦和区,さいたま市浦和区針ヶ谷4-2-65,048-831-1550,,,0830-2100,毎月第1日曜,,
浦和警察署,官公庁(埼玉県),公共施設,○,×,×,,1,【おむつ交換】1Fロビー,,330-0061,さいたま市浦和区,さいたま市浦和区常盤4-11-21,048-825-0110,,,830-1715,土日祝日,,"使用する際は職員にお声掛け願います。
使用済みおむつ等はお持ち帰りください。
ベビーベッドを設置しています。"
