名称,主たる事業,区分,設備おむつ交換,設備授乳,設備その他,設備内容,箇所数,設置場所,特徴,郵便番号,市区町村,住所,電話番号,FAX,メール,営業時間,定休日,URL,PR（赤ちゃんの駅）
アカチャンホンポ　若葉店,ベビー・マタニティ用品専門店,買物,○,○,×,,2,【おむつ交換+授乳】店内赤ちゃん休憩室/【おむつ交換】女子トイレ,店内の赤ちゃん休憩室で授乳・おむつ交換どちらも行えます。,350-2201,鶴ヶ島市,鶴ヶ島市富士見1-2-1ワカバウォーク内 東棟1F,049-272-5031,049-271-3251,,10:00～21:00,なし,http://www.akachan.jp/CGI/store/top/shop.cgi?shop_cd=071,アカチャンホンポは、「安らぎと楽しさと生きがいのある幸せな暮らしをお届けする」を基本理念とした「ベビー・マタニティ用品専門店」です。豊富な品揃え、お客様の声を活かした商品開発、イベント開催などを通して、マタニティ・育児ライフをトータルでサポートします。
アカチャンホンポ　ララガーデン川口店,ベビー・マタニティ用品専門店,買物,○,○,×,,1,【おむつ交換＋授乳】店内赤ちゃん休憩室,店内の赤ちゃん休憩室で授乳・おむつ交換どちらも行えます。,332-0028,川口市,川口市宮町18-9 ララガーデン川口2F,048-240-3161,048-257-6150,,10:00～20:00,なし,http://www.akachan.jp/CGI/store/top/shop.cgi?shop_cd=108,アカチャンホンポは、「安らぎと楽しさと生きがいのある幸せな暮らしをお届けする」を基本理念とした「ベビー・マタニティ用品専門店」です。豊富な品揃え、お客様の声を活かした商品開発、イベント開催などを通して、マタニティ・育児ライフをトータルでサポートします。
学童クラブ　そら,学童保育,教育・習い事,○,○,×,,1,【おむつ交換+授乳(搾乳できます)】施設内(パーテーションあり),,335-0034,戸田市,戸田市笹目3-10-9 　SAN・Aハイム1階,048-458-0715,048-458-0715,todagakudou1@roukyou.gr.jp,10:00～19:00,日・祝・年末・年始,https://gakudou-sora.roukyou.gr.jp/,空きスペースがあるので地域のために使って頂きたいと思っています。
ふわふわベーカリーカフェ,障害福祉サービス事業所,飲食,○,○,○,キッズコーナー,3,"【おむつ換え】トイレ内
【授乳】授乳室",広々としたトイレやお子様が楽しく遊べるキッズコーナーがあります。,350-1246,日高市,日高市梅原48-6,042-985-1000,042-985-1020,dai3kawasemi.fuwafuwa@plum.plala.or.jp,火～金）11:00～16:30／土）10:30～15:30,日・月・祝祭日（月曜日が祝祭日の時は、翌火曜も休み）,,国産の小麦粉を使用したふわふわパンを販売しています。体にも優しい、安心・安全なパンです。店内は落ち着いた雰囲気でバリアフリーになっているので、小さなお子様からご年配の方まで幅広くご利用頂けます。
深谷市水道庁舎,水道施設,公共施設,○,○,○,チャイルドチェア(1F多目的トイレ内),2,"【おむつ交換】1F授乳室、2F多目的トイレ
【授乳】1F授乳室(搾乳でもご利用いただけます)",おむつ交換と授乳可能な居室があります。内側より施錠が可能なので周囲を気にせず赤ちゃんのお世話ができます。,369-0211,深谷市,深谷市岡部1086,048-577-7543,048-546-0126,suidokomu@city.fukaya.saitama.jp,8:30～17:15,土日、祝祭日,,
まつお歯科,歯科,その他,○,○,×,,2,"【おむつ交換】トイレ内
【授乳】個室利用（イス有）",おむつ交換台、授乳できる個室がそれぞれひとつあります。おむつ、授乳ケープの用意あり。,341-0018,三郷市,三郷市早稲田4-7-20,048-950-5588,048-950-5587,,9:00～13:00／15:00～19:00（土・日は14:30～17:00）,火・祝,http://misato-matsuo-dc.com/,まつお歯科は、ご家族みんなで通える歯科医院です。土日の診療も行っています。「かかりつけ医」として一緒に歯の健康管理をしましょう。
ガーラ・レジデンス戸田公園セントラルスクエア,マンションギャラリー,買物,○,○,○,キッズコーナー,2,"【おむつ替え】1Fトイレ
【授乳】1F授乳室",,335-0015,戸田市,戸田市川岸2-5-30,048-430-0351,048-446-3211,toda130@haseko-hub.co.jp,10:00～18:00,水・木定休（祝日は営業）,http://www.gala-series.com/toda/central,"小学校・中学校が目の前、子育てにぴったりのマンション、ガーラ・レジデンス戸田公園セントラルスクエア！
大迫力の大型模型や、洗練されたインテリアのモデルルームをご覧頂けます。"
パル薬局　朝霞駅前店,薬局,買物,○,○,×,,1,"【おむつ替え】トイレ内（おむつ交換台あり）
【授乳】授乳室（個室スペース）",店内に、熱帯魚の大きな水槽があります。,351-0011,朝霞市,朝霞市本町2-4-24,048-487-9199,048-487-9199,asakaekimae.pal@palhonest.co.jp,（月・火・木・金）9:00～18:30　（土）9:00～15:30,水・日・祝,http://www.palhonest.co.jp,"全国どこの処方せんでもお受けいたします。
アロマオイル、関連グッズの販売もあります。"
児童養護施設さんあい,児童養護施設,その他,○,○,×,,1,【おむつ換え＋授乳】施設内和室,ゆっくりと授乳、おむつ交換できる和室が一部屋あります。,369-0212,深谷市,深谷市櫛挽15-2,048-585-0605,048-585-0562,,8:00～17:00,なし,http://www.san-ai-jidouyougo.net,
越谷市保健所,保健所,公共施設,○,○,×,,3,"【おむつ交換】1階・2階多目的トイレ
【おむつ交換+授乳】1階授乳室(搾乳できます)",,343-0023,越谷市,越谷市東越谷10-31,048-973-7530,048-973-7534,,月～金　8:30～17:15,土・日・祝日・年末年始(12/29～1/3),https://www.city.koshigaya.saitama.jp/index.html,平成27年4月開設。
宮代町立図書館,図書館,公共施設,○,○,○,男性用・女性用トイレ個室内にベビーチェアあり。館内用ベビーカーの貸出あり。,2,"【おむつ替え】1階トイレ入口手前にベビーベッドあり
【授乳】授乳室へはスタッフがご案内いたします。お気軽にお声かけください。",,345‐0801,宮代町,宮代町百間1139,0480-34-9944,0480-32-6798,,火～金曜日 9:30～19:00　/　土・日・祝日9:30～18:00,月曜日(祝日を除く)、月末(土日の場合は翌平日)、祝日の翌日、特別整理期間、年末年始,https://lib-miyashiro.jp/,"赤ちゃん向けのおはなし会を毎月第2水曜日,第4日曜日に開催しています。(くわしくはホームページをご確認ください)"
